date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,total_barons 1.5,130.00%,Bet365,win,4.0,3.0
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,total_dragons 3.5,46.40%,Bet365,win,1.83,0.83
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,total_towers 10.5,70.50%,Bet365,win,2.2,1.2
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,total_kills 22.5,9.80%,Bet365,win,1.83,0.83
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,game_duration 26.5,46.40%,Bet365,win,1.83,0.83
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,under,total_inhibitors 1.5,5.00%,Bet365,win,2.0,1.0
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,total_barons 1.5,94.85%,Bet365,win,4.33,3.33
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,over,total_kills 26.5,20.51%,Dafabet,loss,1.854,-1.0
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,under,game_duration 31.0,11.81%,Dafabet,win,1.789,0.79
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,under,total_barons 1.5,13.20%,Dafabet,win,1.677,0.68
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,over,total_kills 26.5,8.16%,Dafabet,loss,1.881,-1.0
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,game_duration 30.0,19.14%,Dafabet,win,2.072,1.07
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,total_barons 1.5,30.83%,Dafabet,win,1.869,0.87
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_kills 25.5,5.27%,Dafabet,loss,1.914,-1.0
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,game_duration 31.0,15.14%,Dafabet,loss,2.07,-1.0
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_barons 1.5,8.41%,Dafabet,loss,1.77,-1.0
2023-10-20 10:16:29,WLDs,G2 Esports,Weibo Gaming,1,under,game_duration 32.0,28.66%,Dafabet,loss,1.838,-1.0
2023-10-20 10:16:29,WLDs,G2 Esports,Weibo Gaming,1,under,total_barons 1.5,18.81%,Dafabet,loss,1.901,-1.0
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,under,total_dragons 4.5,8.75%,Bet365,win,1.5,0.5
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,over,total_kills 26.5,30.00%,Bet365,loss,2.0,-1.0
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,over,game_duration 28.5,5.22%,Bet365,loss,1.83,-1.0
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,under,total_inhibitors 1.5,15.50%,Bet365,win,2.1,1.1
2023-10-20 08:29:39,WLDs,Fnatic,GAM Esports,1,under,total_barons 1.5,5.98%,Bet365,win,1.57,0.57
2023-10-20 10:16:29,WLDs,G2 Esports,Weibo Gaming,1,under,total_dragons 4.5,16.10%,Bet365,loss,1.72,-1.0
2023-10-20 10:16:29,WLDs,G2 Esports,Weibo Gaming,1,under,game_duration 31.5,23.53%,Bet365,loss,1.83,-1.0
2023-10-20 10:16:29,WLDs,G2 Esports,Weibo Gaming,1,under,total_barons 1.5,31.25%,Bet365,loss,2.1,-1.0
2023-10-20 09:21:32,WLDs,Gen.G,T1,1,under,total_dragons 4.5,12.05%,Bet365,loss,1.66,-1.0
2023-10-20 09:21:32,WLDs,Gen.G,T1,1,under,total_kills 30.5,41.83%,Bet365,win,1.83,0.83
2023-10-20 09:21:32,WLDs,Gen.G,T1,1,under,game_duration 31.5,14.38%,Bet365,win,1.83,0.83
